Module,Part,Question,Qn,section,module,C_N,Score,Description,Comment
Four,Data Use For Decision-Making,"Q3. How is data collected, organized, managed within the org?",3,3,4,4_3_3,5,"The organization employs advanced, systematic methods for data collection, utilizing both manual and automated tools to gather a wide range of data types from various sources.",
Four,Data Use For Decision-Making,Q4. How are these metrics used to assess program effectiveness and efficiency?,4,3,4,4_3_4,5,"The organization employs a comprehensive set of well-defined, relevant metrics that are closely aligned with its strategic goals and objectives.",The program is designed along a logic framework with defined outputs and outcomes. The COE does have a Scorecard
Four,Data Use For Decision-Making,"Q5. Are there established protocols for ensuring data accuracy, reliability, and integrity?",5,3,4,4_3_5,5,"The organization has robust protocols for data accuracy, reliability, and integrity, these protocols are used and available for review",
Four,Data Use For Decision-Making,Q6. How frequently is data analyzed to inform programmatic decisions?,6,3,4,4_3_6,5,"Data analysis is a continuous and integral part of the decision-making process, data is collected and analyzed in real-time or near-real-time, ensuring that programmatic decisions are informed by the most current information available.",Monthly program performance report back used to identify areas for improvement. Opportunities for realtime program performance monitoring and course correction using DHIS2 Manager.
Four,Data Use For Decision-Making,Q7. There are trained staff members responsible for data analysis and interpretation,7,3,4,4_3_7,5,"Dedicated team of trained data staff working closely with decision-makers to provide timely, accurate, and actionable insights from data",M&E officers are part of each outreach team.
Four,Data Use For Decision-Making,Q8. Are stakeholders provided with opportunities to contribute insights and perspectives based on data?,8,3,4,4_3_8,5,"Actively encourages and facilitates regular stakeholder engagement in data analysis and decision-making processes, hosts regular data discussion meetings with feedback mechanisms in place","Community feedback meetings at community level, donor meetings and quarterly meetings with other stakeholders to review program performance."
Four,Data Use For Decision-Making,Q9. The organization is responsive to changes in data trends or emerging issues.,9,3,4,4_3_9,4,"Comprehensive level of responsiveness to change, incorporating all key staff in the process",Analysis does run trends to identify astronomical points. The aspect of real time responsiveness can only be possible with interconnection and interoperable systems.
Four,Data Use For Decision-Making,"Q10. Does the organization have evaluations of its projects and programs? If so, how often? Were evaluations internal or external?",10,3,4,4_3_10,2,Some internal evaluations conducted,The projects have upcoming evaluations as guided by the PMP.
Four,Data Use For Decision-Making,Q11. Are evaluation findings shared widely with the organization?,11,3,4,4_3_11,2,Some evaluation findings shared with some team members,
Four,Data Use For Decision-Making,Q12. Do staff have a good ability to review the quality of evaluations and address the findings and recommendations in existing and new programs?,12,3,4,4_3_12,5,"All relevant staff have capacity to review quality of evaluation and findings, and address recommendations in existing and new programs",The fact that the team has been able to respond to NOFOs is testament to the capacity to review evaluation findings.
Four,Continuous Quality Improvement,Q1. Does program demonstrate leadership commitment to CQI activities?,1,4,4,4_4_1,5,"Leadership is fully engaged, provides consistent support, allocates adequate resources, and actively participates in CQI activities",The organization does have a dedicated team for the implementation of CQI activities. There is a QI CoP.
Four,Continuous Quality Improvement,Q2. To what extent does the program routinely collect and use data to inform CQI activities?,2,4,4,4_4_2,,,Data is collected and analyzed regularly but there is a disconnect with the follow up with QI project implementation.
Four,Continuous Quality Improvement,Q3. Does the program utilize Plan-Do-Study-Act (PDSA) cycles or other CQI frameworks to test and implement changes?,3,4,4,4_4_3,4,PDSA cycles or other CQI tools are used but not consistently documented or applied across all initiatives,The documentation of CQI activities is still not up to standard.
Four,Continuous Quality Improvement,Q4. To what extent are CQI practices integrated into routine program operations?,4,4,4,4_4_4,4,CQI practices are mostly integrated but may rely on occasional external support,"Without external support, a few facilities are not able to maintain the “c” in CQI"
Four,Continuous Quality Improvement,Q5. Are staff provided with adequate training and resources to participate in CQI activities?,5,4,4,4_4_5,5,Comprehensive and ongoing training and resources are available to all staff involved in CQI,
Four,Continuous Quality Improvement,"Q6. How effectively does the program document, evaluate, and share the results of CQI activities?",6,4,4,4_4_6,3,Documentation exists but is incomplete or inconsistently shared,
Five,Stakeholder Involvement,Q1. Stakeholders are actively involved in project design and program implementation.,1,1,5,5_1_1,3,Moderate level of involvement,"MOH is involved and aware and the most active stakeholder that they have, and have some good existing relationships with existing iNGOs eg EGPAF; They have key partners that they strategically partner with historically"
Five,Stakeholder Involvement,Q2. Are there clear channels of communication that can be used by stakeholders to raise issues?,2,1,5,5_1_2,2,Minimal channels for stakeholders to communicate issues,
Five,Stakeholder Involvement,"Q3. Does the org share findings, recommendations of assessments, studies, plans and evaluations with key stakeholders?",3,1,5,5_1_3,5,Exhibits a high level of transparency and actively engages with key stakeholders on a regular basis,Yes – the leadership at the MOH acknowledges their support. MOH has said they are one of the transparent organizations that get a subvention
Five,Resource Mobilization,Q1. Does the org have sufficient financial resources to continue existing programs next year without new donor funding?,1,2,5,5_2_1,3,Moderate financial resources and some reserves but there may be constraints,"Yes, all the MOH funded ones; At least the 6 sites would go on; "
Five,Resource Mobilization,Q2. Does the org have sufficient financial resources to continue existing programs in the next 5 years without new donor funding?,2,2,5,5_2_2,3,Moderate financial resources and some reserves but there may be constraints,"Yes, all the MOH funded ones; At least the 6 sites would go on;"
Five,Resource Mobilization,Q3. How would the organization weather an unexpected reduction in funding?,3,2,5,5_2_3,4,"Some level of preparedness for unexpected reductions in funding, with limited financial reserves and a general plan for navigating financial shortfalls.","KB was a very large OVC and DREAMS funding award for 5 years and its now shutting down (going to M2M) and they are already having to weather this substantial reduction in IDC. 

So they are in the position now to transition and downsize"
Five,HIV Integration And Sustainability,Q1. Is there a current framework for integrating HIV services into public/private health systems?,1,3,5,5_3_1,2,Limited discussions around integration,"They have Friday CME classes and their doctor and nurses can provide broad service. They cant access NCD essential drugs so they wouod need to buy stocks for this and cant afford it. The nurses PSE training is typical eg midwifery, etc and are invited to relevant trainings that may not be HIV only even though their core population is HIV patients

They also have a child -focused service delivery that is comprehensive

They are thinking about this and have been talking about it with the board and how integration can be piloted if it becomes inevitable and take advantage of the exiting resources that they already have in place"
Five,HIV Integration And Sustainability,Q2. Does the organization have established guidelines or protocols for HIV service delivery integration?,2,3,5,5_3_2,1,No guidelines for HIV service integration,"They have Friday CME classes and their doctor and nurses can provide broad service. They cant access NCD essential drugs so they wouod need to buy stocks for this and cant afford it. The nurses PSE training is typical eg midwifery, etc and are invited to relevant trainings that may not be HIV only even though their core population is HIV patients

They also have a child -focused service delivery that is comprehensive

They are thinking about this and have been talking about it with the board and how integration can be piloted if it becomes inevitable and take advantage of the exiting resources that they already have in place"
Five,HIV Integration And Sustainability,Q3. Are there initiatives to strengthen health information exchange for improved service coordination and continuity of care?,3,3,5,5_3_3,2,Informal information exchange,"They have Friday CME classes and their doctor and nurses can provide broad service. They cant access NCD essential drugs so they wouod need to buy stocks for this and cant afford it. The nurses PSE training is typical eg midwifery, etc and are invited to relevant trainings that may not be HIV only even though their core population is HIV patients

They also have a child -focused service delivery that is comprehensive

They are thinking about this and have been talking about it with the board and how integration can be piloted if it becomes inevitable and take advantage of the exiting resources that they already have in place"
Five,Partnerships,Q1. Are you working collaboratively with the government towards sustainability?,1,4,5,5_4_1,,,"Been a new topic in the last 2 years, and this is now in the subvention. It has not been direct dialogue with the MOH"
Five,Partnerships,Q2. How are partnerships leveraged for service delivery and/or to identify innovative financing opportunities?,2,4,5,5_4_2,,,"Resource mobilization plan is not formally written and they would need STTA for this. 

Current recruitment for the gap in finance director is considering the need for resource mobilization – lacking this key member of their SMT has delayed developing a formalized resources"
